run_id,mode,completed_at,generated,ai_approved,backlog_carried,kp_passed,round_pass_rate_pct
QA-20260819-002024-KST,qa,2026-08-19T00:23:45.329953+09:00,30,22,0,1,3.3333
RUN-20260819-003020-KST,production,2026-08-19T00:39:02.004737+09:00,5723,1225,0,6,0.1048
RUN-20260819-121626-KST,production,2026-08-19T12:27:54.705049+09:00,5368,1120,0,17,0.3167
RUN-20260819-131242-KST,production,2026-08-19T13:42:37.691987+09:00,6080,5313,0,104,1.7105
RUN-20260819-201533-KST,production,2026-08-19T20:49:40.567398+09:00,5411,4863,0,140,2.5873
RUN-20260819-205109-KST,production,2026-08-19T21:20:13.149319+09:00,10000,9140,0,51,0.5100
RUN-20260819-212146-KST,production,2026-08-19T21:33:06.841123+09:00,2317,2160,0,13,0.5611
RUN-20260819-213339-KST,production,2026-08-19T22:07:59.511479+09:00,9036,8251,0,128,1.4166
QA-20260819-223906-KST,qa,2026-08-19T22:41:54.110111+09:00,30,27,0,0,0.0000
QA-20260819-231214-KST,qa,2026-08-19T23:13:53.899405+09:00,20,18,0,0,0.0000
