title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Access Map,1300.0,0.0,success,True,2026-08-17T20:47:23.581270+09:00
Access Portal,2900.0,0.0,success,True,2026-08-17T20:34:38.143389+09:00
Activation Rail,6600.0,0.0,success,True,2026-08-17T20:35:25.429619+09:00
Admission Calendar,14800.0,0.0,success,True,2026-08-19T00:02:27.896414+09:00
Admission Card,201000.0,0.0,success,True,2026-08-19T13:24:14.979285+09:00
Admission Note,1600.0,0.0,success,True,2026-08-19T13:25:04.340704+09:00
Admission Rate,1000.0,0.0,success,True,2026-08-19T20:43:26.923996+09:00
Agenda Draft,2400.0,0.0,success,True,2026-08-19T20:43:44.541784+09:00
Album Rate,1300.0,0.0,success,True,2026-08-19T20:38:05.655570+09:00
Alumni Card,1000.0,0.0,success,True,2026-08-19T13:29:19.231161+09:00
Alumni Portal,8100.0,0.0,success,True,2026-08-17T20:31:58.373055+09:00
Archive Map,1900.0,0.0,success,True,2026-08-17T20:38:07.696860+09:00
Archive Zone,5400.0,0.0,success,True,2026-08-17T21:35:24.685319+09:00
Assembly File,1000.0,0.0,success,True,2026-08-19T20:42:34.910732+09:00
Assembly Level,1000.0,0.0,success,True,2026-08-19T20:42:39.884460+09:00
Assembly Loop,1600.0,0.0,success,True,2026-08-17T20:48:00.384731+09:00
Assembly Register,1300.0,0.0,success,True,2026-08-17T23:26:22.390418+09:00
Assessment Report,1900.0,0.0,success,True,2026-08-19T13:25:14.797860+09:00
Assignment Form,2900.0,0.0,success,True,2026-08-19T13:31:08.046594+09:00
Assignment History,1600.0,0.0,success,True,2026-08-19T20:47:00.737978+09:00
Assignment Score,1900.0,0.0,success,True,2026-08-19T13:31:52.943506+09:00
Assignment Status,60500.0,0.0,success,True,2026-08-19T20:46:49.166137+09:00
Attendance View,18100.0,0.0,success,True,2026-08-19T20:39:50.711958+09:00
Audit Desk,2400.0,0.0,success,True,2026-08-17T20:31:38.107939+09:00
Backup Planner,9900.0,0.0,success,True,2026-08-17T23:32:25.255075+09:00
Backup Signal,12100.0,0.0,success,True,2026-08-17T21:38:05.775829+09:00
Badge Cascade,1000.0,0.0,success,True,2026-08-18T07:52:27.935751+09:00
Badge Center,1000.0,0.0,success,True,2026-08-17T20:35:44.075031+09:00
Barcode Board,2400.0,0.0,success,True,2026-08-18T23:57:39.317157+09:00
Batch Check,2400.0,0.0,success,True,2026-08-19T13:28:52.256085+09:00
Batch File,8100.0,0.0,success,True,2026-08-19T20:45:37.673361+09:00
Beneficiary Portal,40500.0,0.0,success,True,2026-08-17T20:46:59.199715+09:00
Beneficiary Status,27100.0,0.0,success,True,2026-08-19T20:37:18.555970+09:00
Benefits Log,12100.0,0.0,success,True,2026-08-19T13:39:01.193066+09:00
Benefits Status,27100.0,0.0,success,True,2026-08-19T20:48:59.251157+09:00
Billing Check,368000.0,0.0,success,True,2026-08-19T13:24:07.507599+09:00
Billing Desk,27100.0,0.0,success,True,2026-08-17T20:33:21.754611+09:00
Billing History,8100.0,0.0,success,True,2026-08-19T20:43:39.981777+09:00
Billing Portal,33100.0,0.0,success,True,2026-08-17T21:32:50.995270+09:00
Billing Status,40500.0,0.0,success,True,2026-08-19T20:43:26.923996+09:00
Billing Update,1000.0,0.0,success,True,2026-08-19T20:44:05.928260+09:00
Billing View,450000.0,0.0,success,True,2026-08-19T20:43:33.378176+09:00
Binder Forge,2900.0,0.0,success,True,2026-08-17T21:35:41.309233+09:00
Boarding Station,1300.0,0.0,success,True,2026-08-17T23:33:28.426699+09:00
Broadcast Station,1300.0,0.0,success,True,2026-08-17T21:36:05.315924+09:00
Budget Rail,2400.0,0.0,success,True,2026-08-17T20:32:08.584337+09:00
Budget Score,8100.0,0.0,success,True,2026-08-19T13:41:47.769675+09:00
Budget Update,5400.0,0.0,success,True,2026-08-19T20:38:50.239529+09:00
Bypass Check,3600.0,0.0,success,True,2026-08-19T13:31:59.823844+09:00
Campaign Trail,9900.0,0.0,success,True,2026-08-17T20:45:24.269018+09:00
Candidate Register,1300.0,0.0,success,True,2026-08-17T23:10:24.973922+09:00
Candidate Status,1900.0,0.0,success,True,2026-08-19T20:40:42.900088+09:00
Care Compass,18100.0,0.0,success,True,2026-08-17T23:28:07.981645+09:00
Care Report,1900.0,0.0,success,True,2026-08-19T13:32:52.541757+09:00
Cargo Update,1900.0,0.0,success,True,2026-08-19T20:46:04.507912+09:00
Carton Profile,3600.0,0.0,success,True,2026-08-19T13:39:49.486851+09:00
Catalog Note,1900.0,0.0,success,True,2026-08-19T13:40:05.769727+09:00
Catalog Update,1300.0,0.0,success,True,2026-08-19T20:39:03.354865+09:00
Cemetery Gate,12100.0,0.0,success,True,2026-08-17T23:27:42.956477+09:00
Certification Portal,2400.0,0.0,success,True,2026-08-17T23:13:41.173741+09:00
Certification Status,4400.0,0.0,success,True,2026-08-19T20:42:14.870990+09:00
Change Directory,1300.0,0.0,success,True,2026-08-19T00:00:28.920086+09:00
Change Keeper,9900.0,0.0,success,True,2026-08-17T21:36:57.018160+09:00
Chart Finder,2400.0,0.0,success,True,2026-08-19T00:00:38.616891+09:00
Chart Panel,40500.0,0.0,success,True,2026-08-17T23:09:23.779987+09:00
Chart Rail,1300.0,0.0,success,True,2026-08-17T23:05:27.218902+09:00
Chart Score,1300.0,0.0,success,True,2026-08-19T13:34:22.181534+09:00
Chart Status,6600.0,0.0,success,True,2026-08-19T20:48:26.152213+09:00
Chart Update,1600.0,0.0,success,True,2026-08-19T20:49:01.783681+09:00
Charter Log,9900.0,0.0,success,True,2026-08-19T13:20:54.330811+09:00
Charter Map,22200.0,0.0,success,True,2026-08-17T23:10:02.526148+09:00
Chat Log,4400.0,0.0,success,True,2026-08-19T13:35:09.228952+09:00
Chat Map,1900.0,0.0,success,True,2026-08-18T07:52:13.300527+09:00
Chat Rate,33100.0,0.0,success,True,2026-08-19T20:39:14.214038+09:00
Chat Relay,1300.0,0.0,success,True,2026-08-17T20:47:53.457764+09:00
Chat Sheet,74000.0,0.0,success,True,2026-08-19T13:35:34.985408+09:00
Chat Status,18100.0,0.0,success,True,2026-08-19T20:38:24.406986+09:00
Chat Update,5400.0,0.0,success,True,2026-08-19T20:39:24.748166+09:00
Chemical File,1000.0,0.0,success,True,2026-08-19T20:42:03.452660+09:00
Chemical Level,1000.0,0.0,success,True,2026-08-19T20:42:12.538195+09:00
Circulation Portal,14800.0,0.0,success,True,2026-08-17T20:40:51.053535+09:00
Citation Log,2900.0,0.0,success,True,2026-08-19T13:27:22.269137+09:00
Citation Portal,1300.0,0.0,success,True,2026-08-17T20:32:02.325008+09:00
Citation Signal,1600.0,0.0,success,True,2026-08-17T21:36:50.527973+09:00
Citation Tag,2900.0,0.0,success,True,2026-08-19T13:28:36.830433+09:00
Claim Counter,27100.0,0.0,success,True,2026-08-18T23:58:46.816942+09:00
Claim Map,4400.0,0.0,success,True,2026-08-18T07:52:25.028656+09:00
Claim Point,1000.0,0.0,success,True,2026-08-17T20:33:16.020559+09:00
Claim Status,33100.0,0.0,success,True,2026-08-19T20:43:57.147560+09:00
Claim Vault,1900.0,0.0,success,True,2026-08-17T20:42:11.427186+09:00
Class File,1600.0,0.0,success,True,2026-08-19T20:40:17.061535+09:00
Class Log,6600.0,0.0,success,True,2026-08-19T13:24:10.018965+09:00
Class Map,1000.0,0.0,success,True,2026-08-17T23:27:38.183762+09:00
Class Roster,6600.0,0.0,success,True,2026-08-19T00:23:43.046041+09:00
Classroom Flow,3600.0,0.0,success,True,2026-08-17T20:41:13.511022+09:00
Classroom Log,550000.0,0.0,success,True,2026-08-19T13:38:06.946096+09:00
Classroom Note,1900.0,0.0,success,True,2026-08-19T13:39:43.638809+09:00
Client Atlas,49500.0,0.0,success,True,2026-08-17T23:27:00.420532+09:00
Commission Rate,2400.0,0.0,success,True,2026-08-19T20:41:43.197527+09:00
Commission Sheet,6600.0,0.0,success,True,2026-08-19T13:22:59.111226+09:00
Complaint Portal,1300.0,0.0,success,True,2026-08-19T20:43:57.147560+09:00
Complaint Register,2900.0,0.0,success,True,2026-08-19T20:46:16.448832+09:00
Complaint Registry,2900.0,0.0,success,True,2026-08-19T20:46:39.045000+09:00
Complaint Status,1300.0,0.0,success,True,2026-08-19T20:38:12.818207+09:00
Compressor Map,1000.0,0.0,success,True,2026-08-18T22:11:43.174107+09:00
Configuration Update,1000.0,0.0,success,True,2026-08-19T20:39:32.642664+09:00
Content Feed,1600.0,0.0,success,True,2026-08-19T20:40:28.949050+09:00
Contract Base,1600.0,0.0,success,True,2026-08-17T20:32:36.001496+09:00
Contract Note,1300.0,0.0,success,True,2026-08-19T13:24:22.197081+09:00
Conversion Base,8100.0,0.0,success,True,2026-08-17T21:37:08.932405+09:00
Conversion Calendar,33100.0,0.0,success,True,2026-08-18T23:58:15.272323+09:00
Conversion Log,1000.0,0.0,success,True,2026-08-19T13:36:47.380431+09:00
Conversion Status,4400.0,0.0,success,True,2026-08-19T20:38:07.942341+09:00
Courier Form,2400.0,0.0,success,True,2026-08-19T13:41:50.563536+09:00
Crate Hub,1900.0,0.0,success,True,2026-08-19T00:38:08.562035+09:00
Crate View,2900.0,0.0,success,True,2026-08-19T20:41:33.167361+09:00
Creative Core,22200.0,0.0,success,True,2026-08-17T20:33:23.313632+09:00
Credential Deck,2400.0,0.0,success,True,2026-08-17T20:38:53.767345+09:00
Crew Center,1300.0,0.0,success,True,2026-08-17T20:38:11.520193+09:00
Crew Portal,49500.0,0.0,success,True,2026-08-17T20:36:17.521162+09:00
Crew Score,1000.0,0.0,success,True,2026-08-19T13:24:10.018965+09:00
Curriculum Hub,1600.0,0.0,success,True,2026-08-17T20:33:42.611240+09:00
Customs Portal,74000.0,0.0,success,True,2026-08-17T20:43:30.530213+09:00
Customs Rate,1300.0,0.0,success,True,2026-08-19T20:40:17.061535+09:00
Cylinder Rate,4400.0,0.0,success,True,2026-08-19T20:46:39.045000+09:00
Damage Frame,1900.0,0.0,success,True,2026-08-19T00:38:43.028128+09:00
Damage Monitor,22200.0,0.0,success,True,2026-08-19T00:37:20.289190+09:00
Damage Report,2400.0,0.0,success,True,2026-08-19T13:35:09.228952+09:00
Dealer Log,9900.0,0.0,success,True,2026-08-19T13:34:03.969558+09:00
Dealer Path,1900.0,0.0,success,True,2026-08-17T20:41:09.985510+09:00
Defect Card,1600.0,0.0,success,True,2026-08-19T13:28:26.877196+09:00
Defect Monitor,1000.0,0.0,success,True,2026-08-17T23:10:33.409769+09:00
Defect Point,1900.0,0.0,success,True,2026-08-17T20:38:53.767345+09:00
Defect Rate,1000.0,0.0,success,True,2026-08-19T20:43:52.054689+09:00
Delivery Update,2900.0,0.0,success,True,2026-08-19T20:41:59.995024+09:00
Demand Draft,27100.0,0.0,success,True,2026-08-19T20:46:04.507912+09:00
Deposit File,2400.0,0.0,success,True,2026-08-19T20:39:55.789733+09:00
Deposit Note,1300.0,0.0,success,True,2026-08-19T13:30:48.441659+09:00
