title,industry,ai_approved,ai_reason,judged_at
Access Board,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Center,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Chain,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Console,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Core,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Deck,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Dial,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Dock,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Gate,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Lab,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Ledger,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Meter,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Node,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Panel,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Portal,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Rail,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Ring,cybersecurity,False,"TITLE_UNCLEAR: Ring is abstract, no SaaS function is suggested (established prior batches)",2026-08-18T07:43:20.334023+09:00
Access Route,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Scale,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Station,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Studio,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Terminal,cybersecurity,False,"TITLE_UNCLEAR: Terminal only reads clearly for transportation/maritime_shipping/aviation/logistics, industry=cybersecurity",2026-08-18T07:43:20.334023+09:00
Access Trail,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Access Zone,cybersecurity,True,,2026-08-18T07:43:20.334023+09:00
Accrual Assistant,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Atlas,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Chain,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Console,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Dial,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Dock,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Engine,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Gate,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Keeper,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Manager,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Meter,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Nexus,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Node,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Panel,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Planner,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Rail,finance,True,,2026-08-18T07:43:20.334023+09:00
Accrual Ring,finance,False,"TITLE_UNCLEAR: Ring is abstract, no SaaS function is suggested (established prior batches)",2026-08-18T07:43:20.334023+09:00
Accrual Route,finance,True,,2026-08-18T07:43:20.334023+09:00
