title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Access Atlas,30.0,0.0,success,False,2026-08-17T20:48:06.680156+09:00
Access Base,210.0,1.0,success,False,2026-08-17T20:44:21.106446+09:00
Access Beacon,10.0,0.0,success,False,2026-08-17T20:34:16.019094+09:00
Access Board,880.0,2.0,success,False,2026-08-17T20:41:48.704350+09:00
Access Cascade,,,failed,False,2026-08-17T20:32:03.329355+09:00
Access Center,3600.0,1.0,success,False,2026-08-17T20:36:35.862750+09:00
Access Chain,90.0,7.0,success,False,2026-08-17T21:34:46.886716+09:00
Access Compass,110.0,1.0,success,False,2026-08-17T20:35:06.364440+09:00
Access Console,320.0,0.0,success,False,2026-08-17T20:33:46.243100+09:00
Access Core,170.0,2.0,success,False,2026-08-17T20:43:30.530213+09:00
Access Deck,50.0,6.0,success,False,2026-08-17T20:41:00.568700+09:00
Access Desk,140.0,7.0,success,False,2026-08-17T20:38:51.261946+09:00
Access Dial,50.0,1.0,success,False,2026-08-17T20:31:29.603433+09:00
Access Dock,,,failed,False,2026-08-17T21:38:03.717082+09:00
Access Flow,390.0,12.0,success,False,2026-08-17T20:41:20.787117+09:00
Access Forge,20.0,0.0,success,False,2026-08-17T20:33:16.020559+09:00
Access Frame,70.0,45.0,success,False,2026-08-17T20:45:22.370262+09:00
Access Gate,2400.0,60.0,success,False,2026-08-17T21:31:33.014186+09:00
Access Grid,390.0,1.0,success,False,2026-08-17T21:35:18.423759+09:00
Access Guard,260.0,29.0,success,False,2026-08-17T20:43:57.612589+09:00
Access Hub,3600.0,3.0,success,False,2026-08-17T20:40:36.395454+09:00
Access Keeper,20.0,15.0,success,False,2026-08-17T20:45:46.874737+09:00
Access Lab,5400.0,9.0,success,False,2026-08-17T20:39:20.129592+09:00
Access Ledger,140.0,1.0,success,False,2026-08-17T20:42:34.302604+09:00
Access Lens,140.0,6.0,success,False,2026-08-17T20:46:12.433556+09:00
Access Lock,720.0,41.0,success,False,2026-08-17T20:48:40.258747+09:00
Access Loop,140.0,7.0,success,False,2026-08-17T21:36:24.237197+09:00
Access Manager,12100.0,2.0,success,False,2026-08-17T20:44:45.631544+09:00
Access Map,1300.0,0.0,success,True,2026-08-17T20:47:23.581270+09:00
Access Nexus,110.0,0.0,success,False,2026-08-17T21:30:24.502544+09:00
Access Node,170.0,0.0,success,False,2026-08-17T21:32:45.123730+09:00
Access Panel,27100.0,100.0,success,False,2026-08-17T20:32:41.344957+09:00
Access Path,590.0,2.0,success,False,2026-08-17T21:32:05.797514+09:00
Access Pilot,20.0,0.0,success,False,2026-08-17T20:39:49.091027+09:00
Access Point,201000.0,100.0,success,False,2026-08-17T21:30:57.458125+09:00
Access Portal,2900.0,0.0,success,True,2026-08-17T20:34:38.143389+09:00
Access Pulse,,,failed,False,2026-08-17T21:34:17.965302+09:00
Access Radar,,,failed,False,2026-08-17T20:38:02.236902+09:00
Access Rail,2400.0,10.0,success,False,2026-08-17T21:36:52.396982+09:00
Access Relay,70.0,4.0,success,False,2026-08-17T20:37:03.531282+09:00
Access Route,390.0,0.0,success,False,2026-08-17T21:39:25.145394+09:00
Access Scale,50.0,55.0,success,False,2026-08-17T21:41:31.698252+09:00
Access Scope,70.0,1.0,success,False,2026-08-17T21:37:26.190503+09:00
Access Sentry,20.0,1.0,success,False,2026-08-17T20:46:49.856300+09:00
Access Signal,,,failed,False,2026-08-17T21:40:49.556938+09:00
Access Station,140.0,2.0,success,False,2026-08-17T20:38:24.877008+09:00
Access Studio,390.0,1.0,success,False,2026-08-17T20:40:15.034726+09:00
Access Sync,170.0,6.0,success,False,2026-08-17T20:42:10.144192+09:00
Access Tracker,590.0,11.0,success,False,2026-08-17T20:43:01.991108+09:00
Access Trail,590.0,2.0,success,False,2026-08-17T21:35:52.306880+09:00
Access Vault,260.0,4.0,success,False,2026-08-17T20:36:06.570384+09:00
Access Watch,720.0,11.0,success,False,2026-08-17T21:38:35.218560+09:00
Access Wave,880.0,7.0,success,False,2026-08-17T21:33:17.550972+09:00
Access Zone,170.0,0.0,success,False,2026-08-17T20:35:36.002153+09:00
Accrual Anchor,,,failed,False,2026-08-17T21:36:07.544663+09:00
Accrual Atlas,,,failed,False,2026-08-17T20:43:42.299051+09:00
Accrual Base,140.0,1.0,success,False,2026-08-17T20:40:48.754907+09:00
Accrual Beacon,,,failed,False,2026-08-17T21:41:44.845375+09:00
Accrual Board,,,failed,False,2026-08-17T20:38:11.520193+09:00
Accrual Bridge,,,failed,False,2026-08-17T21:37:05.127331+09:00
Accrual Cascade,,,failed,False,2026-08-17T21:38:15.647846+09:00
Accrual Center,,,failed,False,2026-08-17T20:32:21.226449+09:00
Accrual Chain,,,failed,False,2026-08-17T21:30:05.905035+09:00
Accrual Console,,,failed,False,2026-08-17T21:41:12.952922+09:00
Accrual Core,,,failed,False,2026-08-17T20:39:59.910293+09:00
Accrual Deck,,,failed,False,2026-08-17T20:37:16.947301+09:00
Accrual Desk,,,failed,False,2026-08-17T20:34:48.922886+09:00
Accrual Dial,,,failed,False,2026-08-17T21:37:44.992622+09:00
Accrual Dock,,,failed,False,2026-08-17T21:33:26.536272+09:00
Accrual Flow,,,failed,False,2026-08-17T20:37:45.876313+09:00
Accrual Forge,,,failed,False,2026-08-17T21:39:44.948189+09:00
Accrual Frame,,,failed,False,2026-08-17T20:41:33.336783+09:00
Accrual Gate,,,failed,False,2026-08-17T20:45:33.619281+09:00
Accrual Grid,,,failed,False,2026-08-17T21:30:38.829852+09:00
Accrual Guard,,,failed,False,2026-08-17T20:40:24.654920+09:00
Accrual Hub,10.0,1.0,success,False,2026-08-17T20:36:48.387810+09:00
Accrual Keeper,,,failed,False,2026-08-17T20:41:58.937145+09:00
Accrual Lab,,,failed,False,2026-08-17T20:35:18.626237+09:00
Accrual Ledger,20.0,4.0,success,False,2026-08-17T20:39:06.787331+09:00
Accrual Lens,,,failed,False,2026-08-17T20:42:18.152107+09:00
Accrual Lock,,,failed,False,2026-08-17T20:44:09.032273+09:00
Accrual Loop,,,failed,False,2026-08-17T21:31:46.266854+09:00
Accrual Manager,,,failed,False,2026-08-17T20:41:08.316613+09:00
Accrual Map,,,failed,False,2026-08-17T20:43:15.863986+09:00
Accrual Meter,,,failed,False,2026-08-17T21:36:34.713232+09:00
Accrual Nexus,,,failed,False,2026-08-17T20:44:29.668652+09:00
Accrual Node,,,failed,False,2026-08-17T20:46:23.888336+09:00
Accrual Panel,,,failed,False,2026-08-17T21:39:05.774100+09:00
Accrual Path,,,failed,False,2026-08-17T20:45:55.190861+09:00
Accrual Pilot,,,failed,False,2026-08-17T20:35:50.076535+09:00
Accrual Point,,,failed,False,2026-08-17T20:45:09.617976+09:00
Accrual Pulse,,,failed,False,2026-08-17T20:48:21.583177+09:00
Accrual Radar,,,failed,False,2026-08-17T20:33:59.012811+09:00
Accrual Rail,,,failed,False,2026-08-17T21:32:23.259221+09:00
Accrual Relay,,,failed,False,2026-08-17T20:32:55.422953+09:00
Accrual Route,,,failed,False,2026-08-17T21:34:29.947705+09:00
Accrual Scale,,,failed,False,2026-08-17T21:35:33.419897+09:00
Accrual Scope,,,failed,False,2026-08-17T21:33:00.443260+09:00
Accrual Sentry,,,failed,False,2026-08-17T20:42:47.401639+09:00
Accrual Signal,,,failed,False,2026-08-17T21:35:02.943607+09:00
Accrual Station,,,failed,False,2026-08-17T20:34:23.568448+09:00
Accrual Studio,,,failed,False,2026-08-17T20:36:17.521162+09:00
Accrual Sync,,,failed,False,2026-08-17T20:38:36.286112+09:00
Accrual Tracker,30.0,16.0,success,False,2026-08-17T20:39:31.272188+09:00
Accrual Trail,,,failed,False,2026-08-17T21:31:11.680234+09:00
Accrual Vault,,,failed,False,2026-08-17T20:31:46.547401+09:00
Accrual Watch,,,failed,False,2026-08-17T21:33:59.802696+09:00
Accrual Wave,,,failed,False,2026-08-17T20:47:04.642239+09:00
Activation Anchor,,,failed,False,2026-08-17T20:38:41.975413+09:00
Activation Atlas,210.0,0.0,success,False,2026-08-17T21:39:15.761980+09:00
Activation Base,,,failed,False,2026-08-17T21:35:08.893531+09:00
Activation Beacon,50.0,0.0,success,False,2026-08-17T20:42:02.791525+09:00
Activation Board,70.0,30.0,success,False,2026-08-17T21:31:54.606698+09:00
Activation Bridge,,,failed,False,2026-08-17T20:39:36.069990+09:00
Activation Cascade,30.0,0.0,success,False,2026-08-17T20:40:29.235539+09:00
Activation Center,210.0,1.0,success,False,2026-08-17T20:44:14.789024+09:00
Activation Chain,,,failed,False,2026-08-17T20:33:36.115262+09:00
Activation Compass,,,failed,False,2026-08-17T20:42:51.727520+09:00
Activation Console,,,failed,False,2026-08-17T20:41:41.231730+09:00
Activation Core,1000.0,1.0,success,False,2026-08-17T21:34:05.861065+09:00
Activation Dashboard,110.0,7.0,success,False,2026-08-17T22:50:36.545244+09:00
Activation Deck,20.0,0.0,success,False,2026-08-17T21:30:45.538595+09:00
Activation Desk,,,failed,False,2026-08-17T20:46:29.220439+09:00
Activation Dial,,,failed,False,2026-08-17T20:40:05.754832+09:00
Activation Dock,,,failed,False,2026-08-17T20:36:21.712002+09:00
Activation Flow,50.0,2.0,success,False,2026-08-17T21:31:19.415531+09:00
Activation Forge,,,failed,False,2026-08-17T20:41:13.511022+09:00
Activation Frame,70.0,0.0,success,False,2026-08-17T21:36:17.240271+09:00
Activation Grid,,,failed,False,2026-08-17T20:34:07.278551+09:00
Activation Guard,,,failed,False,2026-08-17T21:34:37.066296+09:00
Activation Hub,480.0,4.0,success,False,2026-08-17T21:30:13.279777+09:00
Activation Keeper,,,failed,False,2026-08-17T21:36:40.900045+09:00
Activation Lab,170.0,2.0,success,False,2026-08-17T20:47:13.736905+09:00
Activation Ledger,,,failed,False,2026-08-17T21:33:05.832312+09:00
Activation Lens,,,failed,False,2026-08-17T21:37:17.917122+09:00
Activation Lock,14800.0,1.0,success,False,2026-08-17T21:40:37.066671+09:00
Activation Loop,90.0,1.0,success,False,2026-08-17T20:34:55.202462+09:00
Activation Manager,480.0,1.0,success,False,2026-08-17T21:35:41.309233+09:00
Activation Map,320.0,0.0,success,False,2026-08-17T21:38:24.477715+09:00
Activation Meter,,,failed,False,2026-08-17T20:39:12.627798+09:00
Activation Nexus,,,failed,False,2026-08-17T21:41:19.053416+09:00
Activation Panel,2400.0,2.0,success,False,2026-08-17T20:40:51.053535+09:00
Activation Pilot,,,failed,False,2026-08-17T20:47:53.457764+09:00
Activation Point,140.0,3.0,success,False,2026-08-17T21:41:49.444267+09:00
Activation Portal,320.0,1.0,success,False,2026-08-17T20:42:22.378966+09:00
Activation Pulse,,,failed,False,2026-08-17T20:33:05.160713+09:00
Activation Radar,,,failed,False,2026-08-17T20:45:35.834234+09:00
Activation Rail,6600.0,0.0,success,True,2026-08-17T20:35:25.429619+09:00
Activation Relay,,,failed,False,2026-08-17T20:44:36.649130+09:00
Activation Route,,,failed,False,2026-08-17T20:37:21.758511+09:00
Activation Scale,,,failed,False,2026-08-17T20:38:14.865229+09:00
Activation Scope,,,failed,False,2026-08-17T20:35:55.625501+09:00
Activation Sentry,,,failed,False,2026-08-17T21:37:49.733247+09:00
Activation Signal,70.0,1.0,success,False,2026-08-17T20:37:55.339961+09:00
Activation Station,140.0,0.0,success,False,2026-08-17T20:46:01.536512+09:00
Activation Studio,210.0,1.0,success,False,2026-08-17T20:48:29.594833+09:00
Activation Sync,,,failed,False,2026-08-17T21:32:31.405261+09:00
Activation Tracker,210.0,1.0,success,False,2026-08-17T21:33:32.175377+09:00
Activation Trail,,,failed,False,2026-08-17T20:34:31.529799+09:00
Activation Vault,,,failed,False,2026-08-17T20:43:48.259554+09:00
Activation Watch,,,failed,False,2026-08-17T20:36:55.192509+09:00
Activation Wave,,,failed,False,2026-08-17T20:31:55.017364+09:00
