title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Access Map,1300.0,0.0,success,True,2026-08-17T20:47:23.581270+09:00
Access Portal,2900.0,0.0,success,True,2026-08-17T20:34:38.143389+09:00
Activation Rail,6600.0,0.0,success,True,2026-08-17T20:35:25.429619+09:00
Admission Calendar,14800.0,0.0,success,True,2026-08-19T00:02:27.896414+09:00
Admission Card,201000.0,0.0,success,True,2026-08-19T13:24:14.979285+09:00
Admission Note,1600.0,0.0,success,True,2026-08-19T13:25:04.340704+09:00
Alumni Card,1000.0,0.0,success,True,2026-08-19T13:29:19.231161+09:00
Alumni Portal,8100.0,0.0,success,True,2026-08-17T20:31:58.373055+09:00
Archive Map,1900.0,0.0,success,True,2026-08-17T20:38:07.696860+09:00
Archive Zone,5400.0,0.0,success,True,2026-08-17T21:35:24.685319+09:00
Assembly Loop,1600.0,0.0,success,True,2026-08-17T20:48:00.384731+09:00
Assembly Register,1300.0,0.0,success,True,2026-08-17T23:26:22.390418+09:00
Assessment Report,1900.0,0.0,success,True,2026-08-19T13:25:14.797860+09:00
Assignment Form,2900.0,0.0,success,True,2026-08-19T13:31:08.046594+09:00
Assignment Score,1900.0,0.0,success,True,2026-08-19T13:31:52.943506+09:00
Audit Desk,2400.0,0.0,success,True,2026-08-17T20:31:38.107939+09:00
Backup Planner,9900.0,0.0,success,True,2026-08-17T23:32:25.255075+09:00
Backup Signal,12100.0,0.0,success,True,2026-08-17T21:38:05.775829+09:00
Badge Cascade,1000.0,0.0,success,True,2026-08-18T07:52:27.935751+09:00
Badge Center,1000.0,0.0,success,True,2026-08-17T20:35:44.075031+09:00
Barcode Board,2400.0,0.0,success,True,2026-08-18T23:57:39.317157+09:00
Batch Check,2400.0,0.0,success,True,2026-08-19T13:28:52.256085+09:00
Beneficiary Portal,40500.0,0.0,success,True,2026-08-17T20:46:59.199715+09:00
Billing Check,368000.0,0.0,success,True,2026-08-19T13:24:07.507599+09:00
Billing Desk,27100.0,0.0,success,True,2026-08-17T20:33:21.754611+09:00
Billing Portal,33100.0,0.0,success,True,2026-08-17T21:32:50.995270+09:00
Binder Forge,2900.0,0.0,success,True,2026-08-17T21:35:41.309233+09:00
Boarding Station,1300.0,0.0,success,True,2026-08-17T23:33:28.426699+09:00
Broadcast Station,1300.0,0.0,success,True,2026-08-17T21:36:05.315924+09:00
Budget Rail,2400.0,0.0,success,True,2026-08-17T20:32:08.584337+09:00
Bypass Check,3600.0,0.0,success,True,2026-08-19T13:31:59.823844+09:00
Campaign Trail,9900.0,0.0,success,True,2026-08-17T20:45:24.269018+09:00
Candidate Register,1300.0,0.0,success,True,2026-08-17T23:10:24.973922+09:00
Care Compass,18100.0,0.0,success,True,2026-08-17T23:28:07.981645+09:00
Care Report,1900.0,0.0,success,True,2026-08-19T13:32:52.541757+09:00
Cemetery Gate,12100.0,0.0,success,True,2026-08-17T23:27:42.956477+09:00
Certification Portal,2400.0,0.0,success,True,2026-08-17T23:13:41.173741+09:00
Change Directory,1300.0,0.0,success,True,2026-08-19T00:00:28.920086+09:00
Change Keeper,9900.0,0.0,success,True,2026-08-17T21:36:57.018160+09:00
Chart Finder,2400.0,0.0,success,True,2026-08-19T00:00:38.616891+09:00
Chart Panel,40500.0,0.0,success,True,2026-08-17T23:09:23.779987+09:00
Chart Rail,1300.0,0.0,success,True,2026-08-17T23:05:27.218902+09:00
Charter Log,9900.0,0.0,success,True,2026-08-19T13:20:54.330811+09:00
Charter Map,22200.0,0.0,success,True,2026-08-17T23:10:02.526148+09:00
Chat Map,1900.0,0.0,success,True,2026-08-18T07:52:13.300527+09:00
Chat Relay,1300.0,0.0,success,True,2026-08-17T20:47:53.457764+09:00
Circulation Portal,14800.0,0.0,success,True,2026-08-17T20:40:51.053535+09:00
Citation Log,2900.0,0.0,success,True,2026-08-19T13:27:22.269137+09:00
Citation Portal,1300.0,0.0,success,True,2026-08-17T20:32:02.325008+09:00
Citation Signal,1600.0,0.0,success,True,2026-08-17T21:36:50.527973+09:00
Citation Tag,2900.0,0.0,success,True,2026-08-19T13:28:36.830433+09:00
Claim Counter,27100.0,0.0,success,True,2026-08-18T23:58:46.816942+09:00
Claim Map,4400.0,0.0,success,True,2026-08-18T07:52:25.028656+09:00
Claim Point,1000.0,0.0,success,True,2026-08-17T20:33:16.020559+09:00
Claim Vault,1900.0,0.0,success,True,2026-08-17T20:42:11.427186+09:00
Class Log,6600.0,0.0,success,True,2026-08-19T13:24:10.018965+09:00
Class Map,1000.0,0.0,success,True,2026-08-17T23:27:38.183762+09:00
Class Roster,6600.0,0.0,success,True,2026-08-19T00:23:43.046041+09:00
Classroom Flow,3600.0,0.0,success,True,2026-08-17T20:41:13.511022+09:00
Client Atlas,49500.0,0.0,success,True,2026-08-17T23:27:00.420532+09:00
Commission Sheet,6600.0,0.0,success,True,2026-08-19T13:22:59.111226+09:00
Compressor Map,1000.0,0.0,success,True,2026-08-18T22:11:43.174107+09:00
Contract Base,1600.0,0.0,success,True,2026-08-17T20:32:36.001496+09:00
Contract Note,1300.0,0.0,success,True,2026-08-19T13:24:22.197081+09:00
Conversion Base,8100.0,0.0,success,True,2026-08-17T21:37:08.932405+09:00
Conversion Calendar,33100.0,0.0,success,True,2026-08-18T23:58:15.272323+09:00
Crate Hub,1900.0,0.0,success,True,2026-08-19T00:38:08.562035+09:00
Creative Core,22200.0,0.0,success,True,2026-08-17T20:33:23.313632+09:00
Credential Deck,2400.0,0.0,success,True,2026-08-17T20:38:53.767345+09:00
Crew Center,1300.0,0.0,success,True,2026-08-17T20:38:11.520193+09:00
Crew Portal,49500.0,0.0,success,True,2026-08-17T20:36:17.521162+09:00
Crew Score,1000.0,0.0,success,True,2026-08-19T13:24:10.018965+09:00
Curriculum Hub,1600.0,0.0,success,True,2026-08-17T20:33:42.611240+09:00
Customs Portal,74000.0,0.0,success,True,2026-08-17T20:43:30.530213+09:00
Damage Frame,1900.0,0.0,success,True,2026-08-19T00:38:43.028128+09:00
Damage Monitor,22200.0,0.0,success,True,2026-08-19T00:37:20.289190+09:00
Dealer Path,1900.0,0.0,success,True,2026-08-17T20:41:09.985510+09:00
Defect Card,1600.0,0.0,success,True,2026-08-19T13:28:26.877196+09:00
Defect Monitor,1000.0,0.0,success,True,2026-08-17T23:10:33.409769+09:00
Defect Point,1900.0,0.0,success,True,2026-08-17T20:38:53.767345+09:00
Deposit Note,1300.0,0.0,success,True,2026-08-19T13:30:48.441659+09:00
Dialect Journal,2900.0,0.0,success,True,2026-08-18T22:07:16.682645+09:00
Dialect Map,1900.0,0.0,success,True,2026-08-18T22:11:59.574853+09:00
Discharge Form,1000.0,0.0,success,True,2026-08-19T13:25:47.267780+09:00
Discovery Calendar,2900.0,0.0,success,True,2026-08-19T00:05:18.968119+09:00
Discovery Hub,1900.0,0.0,success,True,2026-08-17T20:33:01.756540+09:00
Discovery Station,1000.0,0.0,success,True,2026-08-18T07:52:49.362329+09:00
Dispatch Center,1300.0,0.0,success,True,2026-08-17T20:31:49.556843+09:00
Dispatch Ledger,5400.0,0.0,success,True,2026-08-17T20:36:39.507807+09:00
Dispatch Log,1300.0,0.0,success,True,2026-08-19T13:23:22.980764+09:00
Distribution Ledger,1600.0,0.0,success,True,2026-08-17T21:36:10.133574+09:00
Distribution Map,1900.0,0.0,success,True,2026-08-18T07:52:30.485728+09:00
Distribution Watch,165000.0,0.0,success,True,2026-08-17T20:39:32.550443+09:00
Docket Sheet,6600.0,0.0,success,True,2026-08-19T13:30:35.292295+09:00
Driver Station,9900.0,0.0,success,True,2026-08-17T21:41:04.521769+09:00
Driver Studio,1600.0,0.0,success,True,2026-08-18T07:52:06.675931+09:00
Editing Profile,8100.0,0.0,success,True,2026-08-19T13:23:25.617100+09:00
Editing Zone,1000.0,0.0,success,True,2026-08-19T12:27:36.694411+09:00
Editorial Board,4400.0,0.0,success,True,2026-08-17T20:43:26.313536+09:00
Efficiency Engine,1000.0,0.0,success,True,2026-08-17T23:24:32.888927+09:00
Elevator Gate,1600.0,0.0,success,True,2026-08-19T00:36:57.137576+09:00
Enrollment Roll,2900.0,0.0,success,True,2026-08-19T12:26:33.810025+09:00
Estimate Point,6600.0,0.0,success,True,2026-08-17T23:31:17.212800+09:00
Extraction Point,1300.0,0.0,success,True,2026-08-17T23:31:27.985495+09:00
Family Check,4400.0,0.0,success,True,2026-08-19T13:23:19.735168+09:00
Family Companion,1000.0,0.0,success,True,2026-08-17T23:12:55.157000+09:00
Family Panel,2400.0,0.0,success,True,2026-08-17T23:15:05.132671+09:00
Family Portal,110000.0,0.0,success,True,2026-08-17T23:08:13.716761+09:00
Family Profile,1000.0,0.0,success,True,2026-08-19T13:24:22.197081+09:00
Family Register,6600.0,0.0,success,True,2026-08-17T23:09:22.045461+09:00
Family Registry,6600.0,0.0,success,True,2026-08-18T23:50:58.305454+09:00
Feedback Assistant,1300.0,0.0,success,True,2026-08-17T23:11:44.690517+09:00
Feedback Hub,4400.0,0.0,success,True,2026-08-18T07:52:20.987077+09:00
Feedback Station,1300.0,0.0,success,True,2026-08-17T20:34:58.202084+09:00
Filing Directory,1900.0,0.0,success,True,2026-08-19T00:01:46.968095+09:00
Filing Radar,1000.0,0.0,success,True,2026-08-17T20:48:37.567206+09:00
Financing Portal,1000.0,0.0,success,True,2026-08-17T20:32:12.868338+09:00
Flight Bridge,1300.0,0.0,success,True,2026-08-17T23:11:08.683373+09:00
Franchise Tag,5400.0,0.0,success,True,2026-08-19T13:27:22.269137+09:00
Freight Rail,2400.0,0.0,success,True,2026-08-17T20:42:52.966707+09:00
Freight Trail,2400.0,0.0,success,True,2026-08-17T20:42:06.946542+09:00
Fuel Check,110000.0,0.0,success,True,2026-08-19T13:21:58.772541+09:00
Fuel Map,8100.0,0.0,success,True,2026-08-17T20:45:22.370262+09:00
Fuel Radar,1600.0,0.0,success,True,2026-08-17T20:36:04.789698+09:00
Fuel Register,2400.0,0.0,success,True,2026-08-17T23:09:36.803243+09:00
Fuel Watch,368000.0,0.0,success,True,2026-08-17T21:36:24.237197+09:00
Furnace Deck,6600.0,0.0,success,True,2026-08-18T22:07:40.431986+09:00
Furnace Tag,1300.0,0.0,success,True,2026-08-19T13:22:09.591180+09:00
Furnace Tracker,3600.0,0.0,success,True,2026-08-18T21:06:03.853095+09:00
Gallery Tag,90500.0,0.0,success,True,2026-08-19T13:20:54.330811+09:00
Grading Chart,8100.0,0.0,success,True,2026-08-19T12:23:14.200437+09:00
Grading Check,9900.0,0.0,success,True,2026-08-19T13:28:58.111204+09:00
Grading Score,2900.0,0.0,success,True,2026-08-19T13:29:07.755274+09:00
Grid Atlas,1600.0,0.0,success,True,2026-08-17T20:41:19.373388+09:00
Grid Compass,1000.0,0.0,success,True,2026-08-17T21:38:35.218560+09:00
Grid Finder,5400.0,0.0,success,True,2026-08-19T00:00:34.964613+09:00
Grid Map,9900.0,0.0,success,True,2026-08-17T20:41:00.568700+09:00
